排名,客户昵称,当日权益,风险度(%),净利润,净利润得分,回撤率(%),回撤率得分,日净值,累计净值,净值得分,综合得分,参考收益率(%),指定交易商,操作指导,账户评估
1,未来的梦想,4693394.440,85.313%,265064.600,100.00000,0.00,100.00000,1.04471,1.04471,88.35342,95.12481,4.47,中信建投,-,账户评估
2,量化交易叶,2628984.720,63.467%,191608.820,86.00568,0.00,100.00000,1.07861,1.07861,91.22935,94.04320,7.86,方正中期,张老师,账户评估
3,君子剑,353406.170,81.593%,70560.000,61.92875,0.00,100.00000,1.24946,1.24946,100.00000,92.81568,24.95,申银万国,-,账户评估
4,Z,6513353.090,54.300%,176612.250,83.03870,0.00,100.00000,1.02787,1.02787,84.77898,89.77293,2.79,新纪元期货,-,账户评估
5,sunni520,1209628.060,85.106%,83151.100,64.71822,0.00,100.00000,1.07382,1.07382,90.76142,89.76168,7.38,申银万国,qq,账户评估
6,yiyeluwei,320865.640,91.173%,29481.170,51.96997,0.00,100.00000,1.09546,1.09546,92.73237,87.87044,9.55,上海中期,猪小喵,账户评估
7,离群的大雁,565531.970,53.645%,40087.910,55.21385,0.00,100.00000,1.07629,1.07629,90.99838,87.84574,7.63,徽商期货,-,账户评估
8,墩儿,213514.390,44.656%,23267.810,49.27859,0.00,100.00000,1.12230,1.12230,94.08267,87.53694,12.23,海通期货,-,账户评估
9,重剑无锋,2180183.940,0.000%,79580.660,63.90659,0.00,100.00000,1.03788,1.03788,86.69889,87.31396,3.79,东证期货,-,账户评估
10,海浪一号,5624374.580,81.116%,129290.420,73.83599,0.00,100.00000,1.02353,1.02353,83.50033,87.22455,2.35,华泰期货,海浪,账户评估
11,杀破狼,569487.980,68.090%,33464.240,53.13568,0.00,100.00000,1.06243,1.06243,90.16750,86.91301,6.24,永安期货,周杰,账户评估
12,永光1号,585764.240,37.803%,33389.900,52.98353,0.00,100.00000,1.06045,1.06045,89.95014,86.73202,6.04,长江期货,-,账户评估
13,猎鹰,266393.460,52.718%,22032.140,48.76926,0.00,100.00000,1.09016,1.09016,92.38215,86.70306,9.02,海通期货,-,账户评估
14,智盈丰-稳健,673111.220,49.245%,34118.270,53.39717,0.00,100.00000,1.05339,1.05339,89.25326,86.49797,5.34,光大期货,周鑫,账户评估
15,无大志,6949369.510,29.812%,133833.650,74.83112,0.00,100.00000,1.01805,1.01805,81.62358,86.21082,1.80,光大期货,-,账户评估
16,forxeonwg907,942565.150,54.785%,34881.050,53.81730,0.00,100.00000,1.03843,1.03843,86.99714,85.30007,3.84,徽商期货,赵武,账户评估
17,优化投资,389472.340,0.000%,21506.460,48.53198,0.00,100.00000,1.05845,1.05845,89.73199,85.27966,5.84,华泰期货,-,账户评估
18,果果桃桃,156527.910,84.287%,12494.500,44.62208,0.00,100.00000,1.08675,1.08675,92.10757,85.25541,8.67,美尔雅期货,杨文强（上海营业部）,账户评估
19,心如止水,1565002.390,48.622%,44848.140,56.52615,0.00,100.00000,1.02950,1.02950,85.53481,85.10587,2.95,大地期货,心如止水,账户评估
20,董海峰,107633.970,70.139%,9852.270,42.74245,0.00,100.00000,1.10076,1.10076,93.08258,85.04383,10.08,国联期货,-,账户评估
21,山城,735692.410,70.320%,29444.010,51.82484,0.00,100.00000,1.04169,1.04169,87.54197,85.03858,4.17,华泰期货,张强,账户评估
22,雷爸,561273.980,95.758%,24117.130,49.57692,0.00,100.00000,1.04490,1.04490,88.49915,84.95425,4.49,福能期货,-,账户评估
23,王昌荣,157954.900,79.599%,11972.040,43.97103,0.00,100.00000,1.08201,1.08201,91.77977,84.85203,8.20,光大期货,forxeon,账户评估
24,大西北,434689.830,76.280%,21181.920,48.19451,0.00,100.00000,1.05122,1.05122,89.02830,84.77577,5.12,中辉期货,-,账户评估
25,lobasin,592172.810,89.987%,24633.440,49.81243,0.00,100.00000,1.04340,1.04340,88.02476,84.72173,4.34,福能期货,-,账户评估
26,金惜苒,459095.420,94.711%,19785.000,47.37852,0.00,100.00000,1.04504,1.04504,88.64287,84.32542,4.50,信达期货,韦建远,账户评估
27,alphago,5411739.260,47.520%,91977.350,66.52126,0.00,100.00000,1.01729,1.01729,81.17880,84.31642,1.73,国泰君安,-,账户评估
28,宏刚,1215727.280,15.584%,34342.910,53.57767,0.00,100.00000,1.02907,1.02907,85.24137,84.14457,2.91,国泰君安,-,账户评估
29,王九力,497162.060,41.284%,20416.000,47.91191,0.00,100.00000,1.04282,1.04282,87.86343,84.01080,4.28,申银万国,-,账户评估
30,刘*梅,980929.590,60.321%,29119.910,51.62558,0.00,100.00000,1.03059,1.03059,85.85468,83.96613,3.06,国泰君安,-,账户评估
31,HY3,3913314.870,65.146%,67583.710,60.95296,0.00,100.00000,1.01757,1.01757,81.32813,83.18212,1.76,国海良时,-,账户评估
32,琪胜,4743954.920,29.253%,68381.760,61.37974,0.00,100.00000,1.01463,1.01463,79.69114,82.22641,1.46,海通期货,-,账户评估
33,趋势交易,105409.940,65.003%,5548.780,39.44448,0.00,100.00000,1.05556,1.05556,89.47822,82.05397,5.56,长江期货,-,账户评估
34,众和二号,959179.830,60.082%,22908.500,49.07269,0.00,100.00000,1.02447,1.02447,83.67607,81.74806,2.45,广永期货,元曦高频,账户评估
35,西安学员2,618703.290,79.322%,16192.330,46.14834,0.00,100.00000,1.02687,1.02687,84.60084,81.43281,2.69,方正中期,丁望林,账户评估
36,逍遥2,1397502.740,33.358%,25981.230,50.48104,0.00,100.00000,1.01894,1.01894,82.21168,81.26390,1.89,东海期货,-,账户评估
37,文,1369085.550,0.000%,25179.920,50.05364,0.00,100.00000,1.01874,1.01874,82.06556,81.02159,1.87,华泰期货,-,账户评估
