排名,客户昵称,组别,当日权益,风险度(%),净利润,回撤率(%),日净值,累计净值,参考收益率(%),指定交易商,操作指导,账户评估
1,Artsulas,轻量级,48782.390,64.591%,1744.750,0.00,1.03059,1.03059,3.06,方正中期,-,账户评估
2,一米,轻量级,10614.500,0.000%,204.700,0.00,1.01966,1.01966,1.97,华泰期货,-,账户评估
3,VULG0304,轻量级,127046.620,75.230%,4041.140,0.00,1.01597,1.01597,1.60,建信期货,-,账户评估
4,VULG0277,轻量级,463339.900,64.115%,6253.450,0.00,1.01368,1.01368,1.37,建信期货,-,账户评估
5,木头,基金组,50661863.310,91.234%,730473.000,0.00,1.01306,1.01306,1.31,海通期货,-,账户评估
6,JX0212000528,轻量级,166765.000,75.469%,1750.000,0.00,1.01061,1.01061,1.06,建信期货,-,账户评估
7,学习,轻量级,181647.490,90.553%,1867.680,0.00,1.01039,1.01039,1.04,西南期货,-,账户评估
8,长期投资,轻量级,317636.970,88.949%,2500.000,0.00,1.00793,1.00793,0.79,华泰期货,-,账户评估
9,3231078,轻量级,88614.860,20.847%,540.000,0.00,1.00613,1.00613,0.61,创元期货,-,账户评估
10,海涛,轻量级,124481.900,61.901%,750.000,0.00,1.00606,1.00606,0.61,国泰君安,-,账户评估
11,Nonado13,程序化,658743.000,9.358%,3112.000,0.00,1.00475,1.00475,0.47,海通期货,-,账户评估
12,二师兄,轻量级,40000.710,0.000%,194.780,0.00,1.00400,1.00400,0.40,信达期货,-,账户评估
13,JXPTG0038,轻量级,94417.080,10.012%,360.000,0.00,1.00383,1.00383,0.38,建信期货,-,账户评估
14,谧儿,轻量级,160220.000,35.268%,500.000,0.00,1.00313,1.00313,0.31,华泰期货,-,账户评估
15,陈雷,轻量级,87040.410,35.666%,250.000,0.00,1.00288,1.00288,0.29,中大期货,-,账户评估
16,大银行,程序化,292258.030,2.695%,728.620,0.00,1.00250,1.00250,0.25,中信期货,-,账户评估
17,识势,程序化,131223.660,19.573%,250.000,0.00,1.00191,1.00191,0.19,国联期货,-,账户评估
