排名,客户昵称,当日权益,风险度(%),净利润,净利润得分,回撤率(%),回撤率得分,日净值,累计净值,净值得分,综合得分,参考收益率(%),指定交易商,操作指导,账户评估
1,jacklee,21217782.390,63.164%,7981546.950,100.00000,0.00,100.00000,1.12753,1.12753,94.73318,98.04786,12.75,光大期货,光大杭州,账户评估
2,卧龙,18388656.660,23.339%,3051444.850,68.88307,0.00,100.00000,1.19896,1.19896,98.32367,93.74721,19.90,福能期货,-,账户评估
3,3230158,12659644.320,26.948%,1986937.900,61.28429,0.00,100.00000,1.18617,1.18617,97.57313,91.83799,18.62,创元期货,-,账户评估
4,润东,18189609.960,80.243%,2026098.990,61.99472,0.00,100.00000,1.12535,1.12535,94.41233,90.85019,12.54,瑞达期货,-,账户评估
5,趋势1号,8209429.450,76.948%,1050000.000,54.94977,0.00,100.00000,1.14666,1.14666,95.74047,89.94333,14.67,大越期货,张福健,账户评估
6,3230399,9942065.480,20.718%,936969.650,54.00914,0.00,100.00000,1.10413,1.10413,93.08784,88.55032,10.41,创元期货,-,账户评估
7,雪儿,7257246.890,38.079%,575579.410,50.81499,0.00,100.00000,1.08614,1.08614,91.89415,87.20796,8.61,海通期货,-,账户评估
8,学无止境,7807748.190,45.345%,494868.260,49.37915,0.00,100.00000,1.06767,1.06767,90.44846,86.01348,6.77,华安期货,-,账户评估
9,3230609,7259288.820,17.248%,449101.450,48.62733,0.00,100.00000,1.06595,1.06595,90.14625,85.58284,6.59,创元期货,-,账户评估
10,雨夜,19293830.440,63.308%,841400.000,52.94533,0.00,100.00000,1.04560,1.04560,87.46164,85.25702,4.56,新湖期货,-,账户评估
11,vdt,6759369.250,87.188%,392740.910,47.80914,0.00,100.00000,1.06169,1.06169,89.74117,85.10939,6.17,国联期货,-,账户评估
12,3230825,6685873.210,34.839%,372910.150,46.75468,0.00,100.00000,1.05907,1.05907,89.16994,84.33892,5.91,创元期货,-,账户评估
13,WG,10460064.100,47.155%,451017.620,48.87189,0.00,100.00000,1.04506,1.04506,87.20721,83.96375,4.51,海通期货,-,账户评估
14,陈小姐,5775211.810,52.829%,318700.000,45.48485,0.00,100.00000,1.05841,1.05841,88.91066,83.71628,5.84,福能期货,-,账户评估
15,3230822,7459388.400,54.745%,325757.330,45.76162,0.00,100.00000,1.04567,1.04567,87.69703,83.17876,4.57,创元期货,-,账户评估
16,扎实稳健,12480407.520,34.590%,427975.000,48.26243,0.00,100.00000,1.03551,1.03551,85.89022,82.97523,3.55,永安期货,-,账户评估
17,纺织的人,7430376.020,15.031%,316120.690,45.23614,0.00,100.00000,1.04443,1.04443,86.71658,82.30632,4.44,东证期货,-,账户评估
18,融满投资,10640687.050,80.909%,346122.200,46.35431,0.00,100.00000,1.03362,1.03362,85.11600,81.78555,3.36,光大期货,欧如,账户评估
19,20号,7246259.510,0.000%,269297.470,44.24514,0.00,100.00000,1.03860,1.03860,86.24791,81.72687,3.86,国海良时,-,账户评估
20,MARK,8257860.540,17.521%,275713.390,44.51790,0.00,100.00000,1.03454,1.03454,85.38581,81.29408,3.45,海通期货,-,账户评估
21,徐文敏01,10311701.830,25.335%,290199.120,44.84120,0.00,100.00000,1.02896,1.02896,84.46216,80.85192,2.90,海通期货,-,账户评估
22,叶**,6140722.800,75.637%,207500.000,42.69523,0.00,100.00000,1.03497,1.03497,85.63579,80.79913,3.50,国海良时,-,账户评估
23,海证投资,16512189.100,85.436%,385839.300,47.53335,0.00,100.00000,1.02393,1.02393,82.39799,80.47540,2.39,海通期货,-,账户评估
24,槜李姑苏,14013683.450,97.955%,331367.020,46.02932,0.00,100.00000,1.02336,1.02336,82.14234,79.75589,2.34,海通期货,-,账户评估
25,风中人,8606998.160,92.407%,268148.480,44.00539,0.00,100.00000,1.02474,1.02474,82.66335,79.34323,2.47,东海期货,-,账户评估
26,木头,50661863.310,91.234%,730473.000,52.01787,0.00,100.00000,1.01306,1.01306,77.77172,78.77845,1.31,海通期货,-,账户评估
27,期货浪子,5187335.250,25.453%,145665.520,39.28461,0.00,100.00000,1.02889,1.02889,84.22677,78.57182,2.89,华安期货,-,账户评估
28,3230161,11559186.400,13.889%,228448.780,43.05901,0.00,100.00000,1.02016,1.02016,81.31507,78.13584,2.02,创元期货,-,账户评估
29,来群期货,7900480.200,42.304%,160917.700,40.77550,0.00,100.00000,1.02079,1.02079,81.57315,77.44874,2.08,申银万国,-,账户评估
30,宣**,12586037.830,6.024%,205248.090,42.44856,0.00,100.00000,1.01658,1.01658,80.00730,77.05688,1.66,国海良时,-,账户评估
31,cloud,9841660.620,44.090%,163250.000,41.25523,0.00,100.00000,1.01687,1.01687,80.25160,76.78514,1.69,信达期货,qq33367257,账户评估
