排名,客户昵称,组别,当日权益,风险度(%),净利润,回撤率(%),日净值,累计净值,参考收益率(%),指定交易商,操作指导,账户评估
1,瓦片,重量级,1387251.760,84.836%,51080.340,0.00,1.03823,1.03823,3.82,大地期货,-,账户评估
2,JXYP0075,轻量级,48478.430,0.000%,1478.000,0.00,1.03145,1.03145,3.14,建信期货,-,账户评估
3,BOSS,轻量级,508722.720,94.118%,10520.000,0.00,1.02112,1.02112,2.11,海通期货,-,账户评估
4,北京大李,轻量级,867176.620,86.296%,17497.600,0.00,1.02059,1.02059,2.06,国泰君安,-,账户评估
5,追风侠,轻量级,442503.190,86.492%,5531.020,0.00,1.01266,1.01266,1.27,长江期货,-,账户评估
6,3230971,轻量级,631485.180,88.135%,7545.910,0.00,1.01209,1.01209,1.21,创元期货,-,账户评估
7,赵**,轻量级,652036.380,61.632%,7623.050,0.00,1.01183,1.01183,1.18,海通期货,-,账户评估
8,没有昵称,重量级,1345393.810,54.298%,15314.570,0.00,1.01151,1.01151,1.15,中信期货,-,账户评估
9,VULG0356,重量级,2125356.080,83.098%,18390.340,0.00,1.00873,1.00873,0.87,建信期货,-,账户评估
10,身轻如燕,轻量级,804509.340,95.384%,6610.350,0.00,1.00828,1.00828,0.83,国泰君安,-,账户评估
11,长安投资688,重量级,1771684.090,81.075%,11429.770,0.00,1.00649,1.00649,0.65,方正中期,刘鹏程,账户评估
12,苏先生560,重量级,1670987.240,88.110%,10320.000,0.00,1.00621,1.00621,0.62,华泰期货,-,账户评估
13,游女士519,重量级,2928417.420,83.794%,17200.000,0.00,1.00591,1.00591,0.59,华泰期货,-,账户评估
14,高建伟,轻量级,487546.380,82.426%,2133.630,0.00,1.00440,1.00440,0.44,国泰君安,叶明,账户评估
15,黄埔008,重量级,1256727.180,32.738%,5168.540,0.00,1.00413,1.00413,0.41,中信建投,-,账户评估
16,Jinlong3,轻量级,254521.950,99.433%,1020.000,0.00,1.00398,1.00398,0.40,申银万国,-,账户评估
17,长安投资666,重量级,2999827.820,79.805%,11540.780,0.00,1.00386,1.00386,0.39,方正中期,刘鹏程,账户评估
18,华泰解西7,轻量级,599938.950,45.306%,2265.600,0.00,1.00379,1.00379,0.38,华泰期货,-,账户评估
19,林先生,基金组,6725917.900,97.079%,24480.000,0.00,1.00365,1.00365,0.37,东海期货,-,账户评估
20,高女士,基金组,6771974.950,96.419%,24480.000,0.00,1.00363,1.00363,0.36,东海期货,-,账户评估
21,天行健,重量级,3366749.290,49.533%,11500.460,0.00,1.00343,1.00343,0.34,福能期货,-,账户评估
22,长安投资788,重量级,2995067.790,79.931%,10140.750,0.00,1.00340,1.00340,0.34,方正中期,刘鹏程,账户评估
23,Airforce,重量级,1570053.000,97.751%,5243.220,0.00,1.00334,1.00334,0.33,国泰君安,-,账户评估
24,不起眼的矿石,重量级,2030351.340,94.487%,6594.790,0.00,1.00326,1.00326,0.33,国泰君安,-,账户评估
25,深**,轻量级,436392.200,62.285%,1380.000,0.00,1.00317,1.00317,0.32,海通期货,-,账户评估
26,通城,轻量级,659719.400,60.914%,2050.090,0.00,1.00312,1.00312,0.31,华泰期货,-,账户评估
27,生存者,重量级,2137718.900,96.232%,6451.980,0.00,1.00303,1.00303,0.30,福能期货,-,账户评估
28,*涛,轻量级,616207.570,65.216%,1651.240,0.00,1.00269,1.00269,0.27,国泰君安,-,账户评估
29,恒升,重量级,3897884.370,99.046%,10956.920,0.00,1.00268,1.00268,0.27,冠通期货,-,账户评估
30,大笨熊,轻量级,772635.380,99.071%,1800.000,0.00,1.00231,1.00231,0.23,海通期货,-,账户评估
31,高女士,基金组,10346182.170,93.934%,21120.000,0.00,1.00205,1.00205,0.20,东海期货,-,账户评估
31,谢先生,基金组,14216690.750,76.148%,29100.000,0.00,1.00205,1.00205,0.21,福能期货,-,账户评估
32,张三丰,重量级,1062056.220,90.165%,2515.230,0.00,1.00200,1.00200,0.20,中信建投,-,账户评估
33,钱**,轻量级,951651.230,84.456%,1800.000,0.00,1.00190,1.00190,0.19,海通期货,-,账户评估
34,吴永年,轻量级,60187.600,0.000%,1423.800,0.00,1.00170,1.00170,0.17,东海期货,-,账户评估
35,麦芽糖,轻量级,829649.200,92.493%,1151.210,0.00,1.00139,1.00139,0.14,国泰君安,-,账户评估
36,贪食蛇二,重量级,2632523.400,95.486%,3462.380,0.00,1.00132,1.00132,0.13,海通期货,-,账户评估
37,林先生,基金组,32698623.330,50.464%,42720.000,0.00,1.00131,1.00131,0.13,福能期货,-,账户评估
38,*劲松,重量级,2039014.470,94.086%,2579.620,0.00,1.00127,1.00127,0.13,国泰君安,-,账户评估
39,VULG0299,重量级,1978764.780,89.254%,1888.010,0.00,1.00096,1.00096,0.10,建信期货,-,账户评估
39,939,重量级,1824493.000,99.556%,1827.140,0.00,1.00096,1.00096,0.10,海通期货,-,账户评估
40,自然源泉,重量级,2651307.020,29.372%,2454.330,0.00,1.00093,1.00093,0.09,西部期货,-,账户评估
41,新天地,轻量级,903080.910,84.972%,789.170,0.00,1.00087,1.00087,0.09,国泰君安,-,账户评估
42,fxzh,重量级,2170376.520,94.861%,1661.770,0.00,1.00077,1.00077,0.08,中大期货,徐政,账户评估
43,陈先生,基金组,47699861.290,67.598%,11760.000,0.00,1.00025,1.00025,0.02,福能期货,-,账户评估
44,王艺进,重量级,3968734.690,86.534%,120.000,0.00,1.00003,1.00003,0.00,东海期货,-,账户评估
45,万法无常,轻量级,483572.780,0.000%,0.000,0.00,1.00000,1.00000,0.00,国泰君安,-,账户评估
45,梅*,轻量级,460917.620,0.000%,0.000,0.00,1.00000,1.00000,0.00,安粮期货,-,账户评估
45,狼,轻量级,500000.000,0.000%,0.000,0.00,1.00000,1.00000,0.00,华泰期货,-,账户评估
45,金牌操盘手,轻量级,637348.260,0.000%,0.000,0.00,1.00000,1.00000,0.00,海通期货,-,账户评估
