排名,客户昵称,组别,当日权益,风险度(%),净利润,回撤率(%),日净值,累计净值,参考收益率(%),指定交易商,操作指导,账户评估
1,jacklee,基金组,21217782.390,63.164%,7981546.950,0.00,1.12753,1.12753,12.75,光大期货,光大杭州,账户评估
2,卧龙,基金组,18388656.660,23.339%,3051444.850,0.00,1.19896,1.19896,19.90,福能期货,-,账户评估
3,润东,基金组,18189609.960,80.243%,2026098.990,0.00,1.12535,1.12535,12.54,瑞达期货,-,账户评估
4,3230158,基金组,12659644.320,26.948%,1986937.900,0.00,1.18617,1.18617,18.62,创元期货,-,账户评估
5,趋势1号,基金组,8209429.450,76.948%,1050000.000,0.00,1.14666,1.14666,14.67,大越期货,张福健,账户评估
6,3230399,基金组,9942065.480,20.718%,936969.650,0.00,1.10413,1.10413,10.41,创元期货,-,账户评估
7,雨夜,基金组,19293830.440,63.308%,841400.000,0.00,1.04560,1.04560,4.56,新湖期货,-,账户评估
8,木头,基金组,50661863.310,91.234%,730473.000,0.00,1.01306,1.01306,1.31,海通期货,-,账户评估
9,雪儿,基金组,7257246.890,38.079%,575579.410,0.00,1.08614,1.08614,8.61,海通期货,-,账户评估
10,蓝莲花,重量级,3161954.790,90.464%,495000.000,0.00,1.18560,1.18560,18.56,华泰期货,-,账户评估
11,学无止境,基金组,7807748.190,45.345%,494868.260,0.00,1.06767,1.06767,6.77,华安期货,-,账户评估
12,至尊宝,重量级,4638446.960,45.639%,464757.230,0.00,1.11135,1.11135,11.14,中国国际,-,账户评估
13,WG,基金组,10460064.100,47.155%,451017.620,0.00,1.04506,1.04506,4.51,海通期货,-,账户评估
14,3230609,基金组,7259288.820,17.248%,449101.450,0.00,1.06595,1.06595,6.59,创元期货,-,账户评估
15,kcb,重量级,3603675.640,76.342%,428325.390,0.00,1.13489,1.13489,13.49,上海中期,-,账户评估
16,扎实稳健,基金组,12480407.520,34.590%,427975.000,0.00,1.03551,1.03551,3.55,永安期货,-,账户评估
17,vdt,基金组,6759369.250,87.188%,392740.910,0.00,1.06169,1.06169,6.17,国联期货,-,账户评估
18,海证投资,基金组,16512189.100,85.436%,385839.300,0.00,1.02393,1.02393,2.39,海通期货,-,账户评估
19,3230825,基金组,6685873.210,34.839%,372910.150,0.00,1.05907,1.05907,5.91,创元期货,-,账户评估
20,一禅指,重量级,2097209.020,58.878%,347068.770,0.00,1.14768,1.14768,14.77,福能期货,黄振杰,账户评估
21,融满投资,基金组,10640687.050,80.909%,346122.200,0.00,1.03362,1.03362,3.36,光大期货,欧如,账户评估
22,槜李姑苏,基金组,14013683.450,97.955%,331367.020,0.00,1.02336,1.02336,2.34,海通期货,-,账户评估
23,JXQZ0003,重量级,2066105.000,93.131%,330240.000,0.00,1.19025,1.19025,19.02,建信期货,-,账户评估
24,3230822,基金组,7459388.400,54.745%,325757.330,0.00,1.04567,1.04567,4.57,创元期货,-,账户评估
25,陈小姐,基金组,5775211.810,52.829%,318700.000,0.00,1.05841,1.05841,5.84,福能期货,-,账户评估
26,chnone,重量级,3791252.050,77.769%,317207.540,0.00,1.09105,1.09105,9.10,海通期货,-,账户评估
27,纺织的人,基金组,7430376.020,15.031%,316120.690,0.00,1.04443,1.04443,4.44,东证期货,-,账户评估
28,wfyyb1,重量级,1459240.690,104.186%,315745.000,0.00,1.27612,1.27612,27.61,永安期货,-,账户评估
29,徐文敏01,基金组,10311701.830,25.335%,290199.120,0.00,1.02896,1.02896,2.90,海通期货,-,账户评估
30,3230402,重量级,3768846.890,77.470%,285887.340,0.00,1.08208,1.08208,8.21,创元期货,-,账户评估
31,lyc1,重量级,2842018.100,33.359%,281250.000,0.00,1.10983,1.10983,10.98,福能期货,赖德福,账户评估
32,安*,重量级,2105589.390,84.495%,279101.100,0.00,1.15281,1.15281,15.28,国海良时,-,账户评估
33,MARK,基金组,8257860.540,17.521%,275713.390,0.00,1.03454,1.03454,3.45,海通期货,-,账户评估
34,顾先生,重量级,4677134.710,47.845%,269988.680,0.00,1.06126,1.06126,6.13,方正中期,姚洁,账户评估
35,20号,基金组,7246259.510,0.000%,269297.470,0.00,1.03860,1.03860,3.86,国海良时,-,账户评估
36,风中人,基金组,8606998.160,92.407%,268148.480,0.00,1.02474,1.02474,2.47,东海期货,-,账户评估
37,期海垂钓,重量级,4462094.670,120.618%,267266.360,0.00,1.06371,1.06371,6.37,东海期货,-,账户评估
38,未来的梦想,程序化,4693394.440,85.313%,265064.600,0.00,1.04471,1.04471,4.47,中信建投,-,账户评估
39,豌豆,重量级,5456860.120,63.482%,234088.520,0.00,1.04482,1.04482,4.48,东证期货,-,账户评估
40,cxq,重量级,1434154.250,55.651%,233973.840,0.00,1.19495,1.19495,19.49,华泰期货,-,账户评估
