排名,客户昵称,组别,当日权益,风险度(%),净利润,回撤率(%),日净值,累计净值,参考收益率(%),指定交易商,操作指导,账户评估
1,专注侠东哥,轻量级,28017.330,32.452%,7693.690,0.00,1.37856,1.37856,37.86,创元期货,-,账户评估
2,马哥,轻量级,142777.780,36.738%,34769.000,0.00,1.32191,1.32191,32.19,方正中期,任伟光,账户评估
3,博文,轻量级,71073.210,111.667%,15800.000,0.00,1.28585,1.28585,28.59,华安期货,-,账户评估
4,东哥,轻量级,463618.290,76.780%,109848.840,0.00,1.24315,1.24315,24.32,大地期货,-,账户评估
5,东升,轻量级,1089378.550,77.831%,201815.000,0.00,1.22738,1.22738,22.74,华泰期货,-,账户评估
6,王**,重量级,1242700.930,137.448%,199457.390,0.00,1.19119,1.19119,19.12,安粮期货,-,账户评估
7,子瑜,轻量级,27739.000,87.516%,4000.000,0.00,1.16850,1.16850,16.85,东海期货,-,账户评估
8,阮**,重量级,1224791.550,18.867%,157916.880,0.00,1.14802,1.14802,14.80,信达期货,-,账户评估
9,3230097,轻量级,69690.380,35.013%,8583.930,0.00,1.14048,1.14048,14.05,创元期货,-,账户评估
10,白云,轻量级,1208822.980,43.241%,207466.010,0.00,1.13819,1.13819,13.82,方正中期,麦浩,账户评估
11,834,轻量级,200997.710,45.469%,20650.000,0.00,1.11450,1.11450,11.45,上海中期,-,账户评估
12,liuruifeng,轻量级,305910.180,49.740%,29808.000,0.00,1.10796,1.10796,10.80,海通期货,-,账户评估
13,巍巍北洋,轻量级,28070.300,0.000%,2191.200,0.00,1.08467,1.08467,8.47,国泰君安,-,账户评估
14,朱**,轻量级,33160.270,93.093%,2300.000,0.00,1.07453,1.07453,7.45,安粮期货,-,账户评估
15,王**,轻量级,221276.420,90.681%,14950.000,0.00,1.07246,1.07246,7.25,海通期货,-,账户评估
16,虚无缥缈97,轻量级,51087.850,97.112%,3450.000,0.00,1.07242,1.07242,7.24,中大期货,-,账户评估
17,赵**,轻量级,138329.240,0.000%,9100.000,0.00,1.07042,1.07042,7.04,国海良时,-,账户评估
18,3230007,轻量级,17634.250,75.024%,1150.000,0.00,1.06976,1.06976,6.98,创元期货,-,账户评估
19,许*,轻量级,19465.060,93.871%,1100.000,0.00,1.05990,1.05990,5.99,安粮期货,-,账户评估
20,张**,轻量级,312988.740,99.244%,17600.000,0.00,1.05958,1.05958,5.96,海通期货,-,账户评估
21,趋势交易,程序化,105409.940,65.003%,5548.780,0.00,1.05556,1.05556,5.56,长江期货,-,账户评估
22,叶**,轻量级,296149.260,97.239%,15574.140,0.00,1.05551,1.05551,5.55,海通期货,-,账户评估
23,郑**,轻量级,22960.090,69.634%,1100.000,0.00,1.05032,1.05032,5.03,安粮期货,-,账户评估
24,goodfeng,轻量级,779239.120,72.251%,35282.530,0.00,1.04743,1.04743,4.74,华泰期货,-,账户评估
25,wfyyb19,轻量级,25382.460,62.988%,1100.000,0.00,1.04530,1.04530,4.53,永安期货,-,账户评估
26,纺织的人,基金组,7430376.020,15.031%,316120.690,0.00,1.04443,1.04443,4.44,东证期货,-,账户评估
27,太湖乐,轻量级,79558.090,73.207%,3300.000,0.00,1.04327,1.04327,4.33,东海期货,-,账户评估
28,期货可居,轻量级,283205.970,54.841%,10093.820,0.00,1.03696,1.03696,3.70,华泰期货,-,账户评估
29,M,重量级,3365412.260,6.070%,116091.750,0.00,1.03573,1.03573,3.57,华泰期货,-,账户评估
30,3230090,轻量级,146558.010,36.109%,4600.000,0.00,1.03240,1.03240,3.24,创元期货,-,账户评估
31,王**,轻量级,848556.970,19.534%,26500.000,0.00,1.03224,1.03224,3.22,安粮期货,-,账户评估
