排名,客户昵称,组别,当日权益,风险度(%),净利润,回撤率(%),日净值,累计净值,参考收益率(%),指定交易商,操作指导,账户评估
1,慧丰聚源,轻量级,529929.660,0.000%,103662.500,0.00,1.24319,1.24319,24.32,海通期货,-,账户评估
2,3600051,轻量级,419322.740,86.524%,67320.000,0.00,1.19125,1.19125,19.12,国联期货,-,账户评估
3,JXQZ0003,重量级,2066105.000,93.131%,330240.000,0.00,1.19025,1.19025,19.02,建信期货,-,账户评估
4,JXQZ0013,轻量级,540360.300,89.272%,81400.000,0.00,1.17736,1.17736,17.74,建信期货,-,账户评估
5,3231295,轻量级,68291.670,80.496%,10200.000,0.00,1.17558,1.17558,17.56,创元期货,-,账户评估
6,杨**,轻量级,23760.210,87.151%,3070.840,0.00,1.14843,1.14843,14.84,安粮期货,-,账户评估
7,JXQZ0372,轻量级,160185.680,53.383%,20400.000,0.00,1.14594,1.14594,14.59,建信期货,-,账户评估
8,刘**,轻量级,94585.870,89.355%,10232.000,0.00,1.12130,1.12130,12.13,海通期货,-,账户评估
9,3230406,轻量级,204018.310,73.349%,21495.440,0.00,1.11777,1.11777,11.78,创元期货,-,账户评估
10,云谈风轻,重量级,1161874.300,56.776%,122400.000,0.00,1.11775,1.11775,11.78,东海期货,-,账户评估
11,李**,轻量级,19725.550,77.108%,2029.370,0.00,1.11468,1.11468,11.47,安粮期货,-,账户评估
12,油王1号,轻量级,836965.060,59.301%,77053.400,0.00,1.10100,1.10100,10.10,福能期货,-,账户评估
13,VULG0298,轻量级,18879.200,59.282%,1697.000,0.00,1.09877,1.09877,9.88,建信期货,-,账户评估
14,独守天使的牛,轻量级,35519.710,59.741%,3083.400,0.00,1.09506,1.09506,9.51,海通期货,-,账户评估
15,JXQZ0346,重量级,1877897.000,61.261%,162100.000,0.00,1.09448,1.09448,9.45,建信期货,-,账户评估
16,逆光,轻量级,30170.040,49.639%,2520.000,0.00,1.09114,1.09114,9.11,美尔雅期货,张璇璇,账户评估
17,赵**,轻量级,131101.000,25.159%,10605.000,0.00,1.08801,1.08801,8.80,海通期货,-,账户评估
18,果果桃桃,程序化,156527.910,84.287%,12494.500,0.00,1.08675,1.08675,8.67,美尔雅期货,杨文强（上海营业部）,账户评估
19,李意志,轻量级,12154.480,60.304%,960.000,0.00,1.08576,1.08576,8.58,东证期货,-,账户评估
20,小鱼,轻量级,237154.350,41.724%,18360.000,0.00,1.08391,1.08391,8.39,福能期货,卢丽群,账户评估
21,宋**,轻量级,27301.880,47.990%,2044.840,0.00,1.08096,1.08096,8.10,安粮期货,-,账户评估
22,赵**,轻量级,12527.990,84.009%,900.000,0.00,1.07740,1.07740,7.74,安粮期货,-,账户评估
23,JXQZ0245,轻量级,140135.920,15.041%,9610.000,0.00,1.07363,1.07363,7.36,建信期货,-,账户评估
24,3231304,轻量级,35428.410,15.516%,2356.950,0.00,1.07127,1.07127,7.13,创元期货,-,账户评估
25,岳**,轻量级,17108.120,0.000%,1082.890,0.00,1.06757,1.06757,6.76,安粮期货,-,账户评估
26,哼哼,轻量级,84072.690,36.326%,5100.000,0.00,1.06458,1.06458,6.46,上海中期,-,账户评估
27,宋**,轻量级,22512.890,73.254%,1440.000,0.00,1.06436,1.06436,6.44,安粮期货,-,账户评估
28,叶王峰亏货勿夸,轻量级,66624.000,32.410%,3920.000,0.00,1.06252,1.06252,6.25,海通期货,-,账户评估
29,JXQZ0015,轻量级,309673.780,78.896%,17375.000,0.00,1.05944,1.05944,5.94,建信期货,-,账户评估
