排名,客户昵称,当日权益,风险度(%),净利润,净利润得分,回撤率(%),回撤率得分,日净值,累计净值,净值得分,综合得分,参考收益率(%),指定交易商,操作指导,账户评估
1,东升,1089378.550,77.831%,201815.000,98.09321,0.00,100.00000,1.22738,1.22738,89.51438,95.22388,22.74,华泰期货,-,账户评估
2,VULG0362,314833.730,0.000%,93205.180,72.11439,0.00,100.00000,1.42055,1.42055,96.01587,94.95771,42.05,建信期货,-,账户评估
3,昙花一笑,407180.680,97.306%,102168.640,74.26703,0.00,100.00000,1.33497,1.33497,93.21006,94.02180,33.50,安粮期货,-,账户评估
4,杰西糖,686345.780,124.732%,139717.030,83.26091,0.00,100.00000,1.25560,1.25560,90.52739,93.91944,25.56,方正中期,-,账户评估
5,金一先生,947834.140,92.351%,160180.000,88.15417,0.00,100.00000,1.20336,1.20336,88.59637,93.56476,20.34,方正中期,-,账户评估
6,徐巍东,727506.100,76.026%,138867.400,83.05432,0.00,100.00000,1.23591,1.23591,89.81954,93.55758,23.59,永安期货,梅兆元,账户评估
7,超牛投资,852346.890,82.208%,143658.540,84.20438,0.00,100.00000,1.20271,1.20271,88.57120,93.07594,20.27,华泰期货,-,账户评估
8,东哥,463618.290,76.780%,109848.840,76.12206,0.00,100.00000,1.24315,1.24315,90.08289,92.84979,24.32,大地期货,-,账户评估
9,3231399,510845.130,88.440%,103249.270,74.53690,0.00,100.00000,1.25331,1.25331,90.44497,92.82808,25.33,创元期货,-,账户评估
10,费天王,1011404.890,97.786%,152639.770,86.35304,0.00,100.00000,1.17774,1.17774,87.52378,92.76170,17.77,中辉期货,-,账户评估
11,慧丰聚源,529929.660,0.000%,103662.500,74.63949,0.00,100.00000,1.24319,1.24319,90.08830,92.67514,24.32,海通期货,-,账户评估
12,小马,951846.250,83.010%,146472.820,84.87920,0.00,100.00000,1.18187,1.18187,87.69048,92.67261,18.19,华安期货,-,账户评估
13,3230871,109640.750,16.585%,40743.250,59.27037,0.00,100.00000,1.34268,1.34268,93.46399,92.27395,34.27,创元期货,-,账户评估
14,期货快枪手,217125.350,77.855%,50652.240,61.73877,0.00,100.00000,1.30427,1.30427,92.17835,92.02427,30.43,方正中期,宋华,账户评估
15,马哥,142777.780,36.738%,34769.000,57.68219,0.00,100.00000,1.32191,1.32191,92.77457,91.75830,32.19,方正中期,任伟光,账户评估
16,Tornado,404285.500,91.121%,76500.000,68.05917,0.00,100.00000,1.23338,1.23338,89.73345,91.69866,23.34,东证期货,-,账户评估
17,陈**,336658.180,116.152%,67100.000,65.75729,0.00,100.00000,1.24893,1.24893,90.28661,91.67252,24.89,国海良时,-,账户评估
18,炒客,373261.780,0.000%,71309.060,66.78917,0.00,100.00000,1.23616,1.23616,89.83175,91.58689,23.62,徽商期货,-,账户评估
19,潘**,44058.270,63.498%,14671.560,51.66376,0.00,100.00000,1.34614,1.34614,93.58432,91.19340,34.61,安粮期货,-,账户评估
20,许**,600331.040,56.744%,114985.490,77.35036,0.00,100.00000,1.15637,1.15637,86.55602,91.11613,15.64,海通期货,-,账户评估
21,专注侠东哥,28017.330,32.452%,7693.690,48.35287,0.00,100.00000,1.37856,1.37856,94.64711,90.98571,37.86,创元期货,-,账户评估
22,长缨在手,894230.050,83.324%,118790.000,78.26117,0.00,100.00000,1.14391,1.14391,85.95915,90.86724,14.39,海通期货,-,账户评估
