排名,客户昵称,组别,当日权益,风险度(%),净利润,回撤率(%),日净值,累计净值,参考收益率(%),指定交易商,操作指导,账户评估
1,hitimes,轻量级,82260.730,0.000%,16763.410,0.00,1.25594,1.25594,25.59,中国国际,-,账户评估
2,3230277,轻量级,144565.500,86.552%,25884.950,0.00,1.21811,1.21811,21.81,创元期货,-,账户评估
3,许**,轻量级,600331.040,56.744%,114985.490,0.00,1.15637,1.15637,15.64,海通期货,-,账户评估
4,JXQZ0388,轻量级,60280.010,83.847%,11735.400,0.00,1.14941,1.14941,14.94,建信期货,-,账户评估
5,黄**,轻量级,28182.490,88.796%,3250.000,0.00,1.13035,1.13035,13.04,海通期货,-,账户评估
6,九典伴,轻量级,110900.020,105.252%,12650.000,0.00,1.12875,1.12875,12.88,国联期货,-,账户评估
7,墩儿,程序化,213514.390,44.656%,23267.810,0.00,1.12230,1.12230,12.23,海通期货,-,账户评估
8,曹**,轻量级,90507.040,26.337%,9658.330,0.00,1.11946,1.11946,11.95,国海良时,-,账户评估
9,3231200,轻量级,66635.410,45.066%,6791.160,0.00,1.11348,1.11348,11.35,创元期货,-,账户评估
10,孤独的Jack,轻量级,300781.440,53.890%,30600.000,0.00,1.11326,1.11326,11.33,方正中期,张博,账户评估
11,3230829,轻量级,26586.450,48.905%,2700.000,0.00,1.11303,1.11303,11.30,创元期货,-,账户评估
12,江南大虾,轻量级,82446.750,57.578%,8338.590,0.00,1.11252,1.11252,11.25,福能期货,-,账户评估
13,lyc1,重量级,2842018.100,33.359%,281250.000,0.00,1.10983,1.10983,10.98,福能期货,赖德福,账户评估
14,wfncp50,轻量级,15328.440,78.689%,1480.000,0.00,1.10687,1.10687,10.69,永安期货,-,账户评估
15,p_b_yu,轻量级,27161.800,79.376%,2600.000,0.00,1.10586,1.10586,10.59,中国国际,-,账户评估
16,绍英,轻量级,178361.930,64.341%,15528.940,0.00,1.09537,1.09537,9.54,南华期货,-,账户评估
17,谢**,轻量级,208223.120,45.791%,19619.060,0.00,1.09058,1.09058,9.06,国海良时,-,账户评估
18,JXQZ0018,轻量级,436788.560,81.681%,34800.000,0.00,1.08657,1.08657,8.66,建信期货,-,账户评估
