排名,客户昵称,当日权益,风险度(%),净利润,净利润得分,回撤率(%),回撤率得分,日净值,累计净值,净值得分,综合得分,参考收益率(%),指定交易商,操作指导,账户评估
1,蓝莲花,3161954.790,90.464%,495000.000,83.19594,0.00,100.00000,1.18560,1.18560,93.08317,94.83291,18.56,华泰期货,-,账户评估
2,wfyyb1,1459240.690,104.186%,315745.000,70.68726,0.00,100.00000,1.27612,1.27612,96.61734,94.24678,27.61,永安期货,-,账户评估
3,JXQZ0003,2066105.000,93.131%,330240.000,71.77434,0.00,100.00000,1.19025,1.19025,93.30910,93.16078,19.02,建信期货,-,账户评估
4,kcb,3603675.640,76.342%,428325.390,78.54193,0.00,100.00000,1.13489,1.13489,90.44636,92.77661,13.49,上海中期,-,账户评估
5,至尊宝,4638446.960,45.639%,464757.230,81.10509,0.00,100.00000,1.11135,1.11135,89.30608,92.63886,11.14,中国国际,-,账户评估
6,一禅指,2097209.020,58.878%,347068.770,73.01845,0.00,100.00000,1.14768,1.14768,91.30521,92.43382,14.77,福能期货,黄振杰,账户评估
7,cxq,1434154.250,55.651%,233973.840,64.79397,0.00,100.00000,1.19495,1.19495,93.59274,92.16890,19.49,华泰期货,-,账户评估
8,安*,2105589.390,84.495%,279101.100,68.05396,0.00,100.00000,1.15281,1.15281,91.66043,91.81926,15.28,国海良时,-,账户评估
9,王**,1242700.930,137.448%,199457.390,62.13622,0.00,100.00000,1.19119,1.19119,93.39935,91.60677,19.12,安粮期货,-,账户评估
10,妙醍醐,1208791.310,89.381%,183419.280,60.88945,0.00,100.00000,1.17888,1.17888,92.78152,91.08337,17.89,大越期货,-,账户评估
11,lyc1,2842018.100,33.359%,281250.000,68.25443,0.00,100.00000,1.10983,1.10983,89.19461,90.54375,10.98,福能期货,赖德福,账户评估
12,chnone,3791252.050,77.769%,317207.540,70.84154,0.00,100.00000,1.09105,1.09105,88.00496,90.29572,9.10,海通期货,-,账户评估
13,松间明月,1499819.400,101.136%,181826.960,60.72644,0.00,100.00000,1.13796,1.13796,90.67038,89.99276,13.80,中信建投,-,账户评估
14,大黄蜂投顾9,1183733.350,65.690%,175422.850,60.01618,0.00,100.00000,1.13941,1.13941,90.83514,89.94330,13.94,上海中期,-,账户评估
15,阮**,1224791.550,18.867%,157916.880,58.27958,0.00,100.00000,1.14802,1.14802,91.37351,89.87215,14.80,信达期货,-,账户评估
16,林云飞,1213245.300,0.000%,153251.430,57.90978,0.00,100.00000,1.14458,1.14458,91.13596,89.66636,14.46,国联期货,重庆聚宸信操盘手俱乐部,账户评估
17,3230402,3768846.890,77.470%,285887.340,68.62233,0.00,100.00000,1.08208,1.08208,87.39756,89.58775,8.21,创元期货,-,账户评估
18,中玉白,2461836.940,92.001%,214753.650,63.38894,0.00,100.00000,1.09557,1.09557,88.28200,89.21947,9.56,海通期货,-,账户评估
19,众拓投资二号,1664883.150,80.995%,170246.070,59.55612,0.00,100.00000,1.11390,1.11390,89.45521,89.14064,11.39,徽商期货,-,账户评估
20,jmc,1832842.370,116.649%,178830.000,60.46891,0.00,100.00000,1.10812,1.10812,89.02034,89.08079,10.81,华泰期货,-,账户评估
21,金色长城,1818656.900,77.855%,176602.940,60.15146,0.00,100.00000,1.10755,1.10755,88.94363,88.94522,10.76,海通期货,-,账户评估
22,3230365,1547897.670,6.507%,177629.660,60.33228,0.00,100.00000,1.10447,1.10447,88.77511,88.90721,10.45,创元期货,-,账户评估
23,云谈风轻,1161874.300,56.776%,122400.000,55.05172,0.00,100.00000,1.11775,1.11775,89.70775,88.35255,11.78,东海期货,-,账户评估
24,期海垂钓,4462094.670,120.618%,267266.360,67.14589,0.00,100.00000,1.06371,1.06371,85.77597,88.28196,6.37,东海期货,-,账户评估
25,JXQZ0346,1877897.000,61.261%,162100.000,58.72865,0.00,100.00000,1.09448,1.09448,88.18627,88.23568,9.45,建信期货,-,账户评估
26,顾先生,4677134.710,47.845%,269988.680,67.38494,0.00,100.00000,1.06126,1.06126,85.51876,88.15594,6.13,方正中期,姚洁,账户评估
27,傅**,2250651.480,82.780%,162435.380,58.86295,0.00,100.00000,1.07779,1.07779,86.96132,87.54222,7.78,国海良时,-,账户评估
28,Tony,2461483.000,104.238%,160607.000,58.51646,0.00,100.00000,1.06980,1.06980,86.38976,87.10571,6.98,华泰期货,-,账户评估
29,琪姐风范,1561759.810,46.278%,113936.710,54.09118,0.00,100.00000,1.07870,1.07870,87.10633,86.63061,7.87,中信期货,-,账户评估
30,牛头,1250601.850,86.386%,98747.800,52.51049,0.00,100.00000,1.08573,1.08573,87.58692,86.56205,8.57,国联期货,-,账户评估
31,飞流,1124429.070,38.086%,88832.650,51.45225,0.00,100.00000,1.08578,1.08578,87.64461,86.37269,8.58,中国国际,-,账户评估
32,xincheng,1516823.840,26.169%,108994.750,53.59105,0.00,100.00000,1.07742,1.07742,86.89192,86.36444,7.74,国海良时,-,账户评估
33,郑育丰,3013706.670,51.394%,162624.330,58.93153,0.00,100.00000,1.05704,1.05704,85.08509,86.35192,5.70,中信建投,-,账户评估
34,查理,5097342.490,69.650%,220961.230,63.86251,0.00,100.00000,1.04531,1.04531,83.70635,86.34048,4.53,南华期货,-,账户评估
35,汪**,2784641.770,90.270%,148872.180,57.39165,0.00,100.00000,1.05648,1.05648,85.00874,85.94373,5.65,海通期货,-,账户评估
36,套利宝宝也单边,1427121.420,51.359%,96000.000,52.21386,0.00,100.00000,1.07212,1.07212,86.58635,85.89367,7.21,大地期货,套利宝宝也单边,账户评估
37,婷婷玉立,3009304.980,53.841%,153045.660,57.84007,0.00,100.00000,1.05358,1.05358,84.73507,85.86555,5.36,国泰君安,-,账户评估
38,黑匣子,1306006.300,89.025%,86847.500,51.15108,0.00,100.00000,1.07124,1.07124,86.49830,85.58635,7.12,光大期货,-,账户评估
39,VULG0431,4210719.220,73.863%,176711.290,60.21461,0.00,100.00000,1.04381,1.04381,83.26043,85.31097,4.38,建信期货,-,账户评估
40,途夫,3762214.370,59.683%,162351.890,58.80147,0.00,100.00000,1.04448,1.04448,83.56426,85.25307,4.45,东证期货,-,账户评估
41,琦琦,3042635.250,77.834%,139280.000,56.63448,0.00,100.00000,1.04797,1.04797,84.08297,85.17956,4.80,东证期货,-,账户评估
42,徐伟,1955272.410,63.876%,101600.000,52.92587,0.00,100.00000,1.05481,1.05481,84.89179,84.94797,5.48,国海良时,-,账户评估
43,domino,1088683.640,94.936%,68409.440,48.56963,0.00,100.00000,1.06705,1.06705,86.17745,84.73503,6.70,永安期货,-,账户评估
44,张*,1186979.310,40.367%,73150.640,49.22385,0.00,100.00000,1.06567,1.06567,85.90352,84.69432,6.57,国海良时,-,账户评估
45,唯快不破,3088929.260,0.000%,129742.570,55.76925,0.00,100.00000,1.04384,1.04384,83.37325,84.48143,4.38,东证期货,-,账户评估
46,3230036,2190318.210,87.396%,100790.990,52.81557,0.00,100.00000,1.04824,1.04824,84.20457,84.45833,4.82,创元期货,-,账户评估
47,lyc2,1661585.130,16.798%,85491.510,50.94810,0.00,100.00000,1.05424,1.05424,84.81508,84.41810,5.42,福能期货,赖德福,账户评估
48,3230577,4626043.000,45.039%,165240.000,59.16340,0.00,100.00000,1.03704,1.03704,82.11896,84.25745,3.70,创元期货,-,账户评估
49,黄志刚,1297106.110,37.953%,70200.000,48.96945,0.00,100.00000,1.05722,1.05722,85.14753,84.15830,5.72,国海良时,-,账户评估
50,wfncp6,4611835.770,55.515%,161315.950,58.62003,0.00,100.00000,1.03625,1.03625,81.86661,83.92197,3.62,永安期货,-,账户评估
