[2016-11-13 15:31:54,970 - taobao_input_msg]INFO:  ascii:122(Z) - PictureKeyboardMouse.py:72
[2016-11-13 15:31:55,381 - taobao_input_msg]INFO:  ascii:104(H) - PictureKeyboardMouse.py:72
[2016-11-13 15:31:55,713 - taobao_input_msg]INFO:  ascii:97(A) - PictureKeyboardMouse.py:72
[2016-11-13 15:31:56,367 - taobao_input_msg]INFO:  ascii:110(N) - PictureKeyboardMouse.py:72
[2016-11-13 15:31:56,598 - taobao_input_msg]INFO:  ascii:103(G) - PictureKeyboardMouse.py:72
[2016-11-13 15:31:56,970 - taobao_input_msg]INFO:  ascii:106(J) - PictureKeyboardMouse.py:72
[2016-11-13 15:31:57,099 - taobao_input_msg]INFO:  ascii:105(I) - PictureKeyboardMouse.py:72
[2016-11-13 15:31:57,387 - taobao_input_msg]INFO:  ascii:110(N) - PictureKeyboardMouse.py:72
[2016-11-13 15:31:57,930 - taobao_input_msg]INFO:  ascii:122(Z) - PictureKeyboardMouse.py:72
[2016-11-13 15:31:58,203 - taobao_input_msg]INFO:  ascii:104(H) - PictureKeyboardMouse.py:72
[2016-11-13 15:31:58,427 - taobao_input_msg]INFO:  ascii:105(I) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:00,210 - taobao_input_msg]INFO:  current page:ÌÔ±¦Íø - ÌÔ£¡ÎÒÏ²»¶ - Mozilla Firefox - PictureKeyboardMouse.py:44
[2016-11-13 15:32:00,210 - taobao_input_msg]ERROR:  information:zhangjinzhi - PictureKeyboardMouse.py:45
[2016-11-13 15:32:04,009 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,568 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,598 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,628 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,657 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,688 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,719 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,750 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,779 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,809 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,839 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,869 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,900 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,930 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,960 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:04,990 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:05,020 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:05,051 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
